Player Name,League,Squad,Country,Position,Annualized Salary
U. Madondo,B,Serious Thunderbirds,Dosqaly,FWDF,"∂ 20,240,000"
I. Okada,B,Serious Thunderbirds,Dosqaly,FWMF,"∂ 28,810,000"
H. Winkler,B,Serious Thunderbirds,Saintu,FWMF,"∂ 20,450,000"
V. Gallo,B,Serious Thunderbirds,Tabhu Striary,FWMF,"∂ 28,140,000"
D. Fuchs,B,Serious Thunderbirds,Dosqaly,GK,"∂ 13,560,000"
H. Kamal,B,Serious Thunderbirds,Dosqaly,GK,"∂ 29,400,000"
I. Sano,B,Serious Thunderbirds,Dosqaly,GK,"∂ 4,800,000"
B. Guillot,B,Serious Thunderbirds,Central Diasongo,MF,"∂ 27,140,000"
V. Ezra,B,Serious Thunderbirds,Coastpa Barleslands,MF,"∂ 15,060,000"
G. Avraham,B,Serious Thunderbirds,Dosqaly,MF,"∂ 17,410,000"
H. Nsungwa,B,Serious Thunderbirds,Dosqaly,MF,"∂ 23,110,000"
J. Martinelli,B,Serious Thunderbirds,Dosqaly,MF,"∂ 22,240,000"
N. Opolot,B,Serious Thunderbirds,Dosqaly,MF,"∂ 1,520,000"
N. Oyama,B,Serious Thunderbirds,Dosqaly,MFDF,"∂ 11,510,000"
C. Nankya,B,Serious Thunderbirds,Dosqaly,MFFW,"∂ 33,070,000"
H. Munetsi,B,Serious Thunderbirds,Pierrema,MFFW,"∂ 27,580,000"
I. Maes,B,Simple Jayhawks,Badad,DF,"∂ 23,060,000"
E. Ilukol,B,Simple Jayhawks,Dosqaly,DF,"∂ 21,300,000"
F. Olinga,B,Simple Jayhawks,Dosqaly,DF,"∂ 16,440,000"
M. Ruggiero,B,Simple Jayhawks,Dosqaly,DF,"∂ 19,470,000"
L. Masaba,B,Simple Jayhawks,Nancipenuaroe,DF,"∂ 14,080,000"
T. Dadzie,B,Simple Jayhawks,South Bartzercuaof,DF,"∂ 11,760,000"
R. Dumont,B,Simple Jayhawks,Tabhu Striary,DF,"∂ 7,080,000"
E. Ooi,B,Simple Jayhawks,Reugha,DFMF,"∂ 16,100,000"
D. Tshuma,B,Simple Jayhawks,Coastpa Barleslands,FW,"∂ 29,040,000"
E. Okonkwo,B,Simple Jayhawks,Coastpa Barleslands,FW,"∂ 13,150,000"
S. Moss,B,Simple Jayhawks,Coastpa Barleslands,FW,"∂ 34,690,000"
X. Kwesiga,B,Simple Jayhawks,Coastpa Barleslands,FW,"∂ 19,070,000"
H. Amponsah,B,Simple Jayhawks,Pierrema,FW,"∂ 33,990,000"
A. Salazar,B,Simple Jayhawks,Rarita,FW,"∂ 22,180,000"
K. Olsen,B,Simple Jayhawks,Tiagascar Westlands,FW,"∂ 2,590,000"
V. Nakibuule,B,Simple Jayhawks,Reugha,FWMF,"∂ 25,210,000"
M. Natumanya,B,Simple Jayhawks,Dosqaly,GK,"∂ 12,590,000"
R. Rizzi,B,Simple Jayhawks,Pierrema,GK,"∂ 19,370,000"
F. Evans,B,Simple Jayhawks,Central Diasongo,MF,"∂ 14,570,000"
Q. Kaseke,B,Simple Jayhawks,Central Diasongo,MF,"∂ 23,870,000"
A. Nwachukwu,B,Simple Jayhawks,Dosqaly,MF,"∂ 16,690,000"
P. Oravec,B,Simple Jayhawks,Dosqaly,MF,"∂ 22,540,000"
Q. Chean,B,Simple Jayhawks,Dosqaly,MF,"∂ 24,110,000"
E. Ueda,B,Simple Jayhawks,Dosqaly,MFFW,"∂ 19,330,000"
D. Jansson,B,Simple Privateers,Biarizea,DF,"∂ 16,710,000"
S. Nalugwa,B,Simple Privateers,Biarizea,DF,"∂ 16,660,000"
W. Muchenje,B,Simple Privateers,Biarizea,DF,"∂ 18,550,000"
M. Ma,B,Simple Privateers,Central Namemo Laand,DF,"∂ 9,000,000"
X. Mostafa,B,Simple Privateers,Chadlau Loupenina,DF,"∂ 23,790,000"
J. Kinoshita,B,Simple Privateers,Czechnor,DF,"∂ 8,130,000"
H. Naluyima,B,Simple Privateers,Lenia Gerdanho,DF,"∂ 17,090,000"
H. Lefebvre,B,Simple Privateers,Reugha,DF,"∂ 28,530,000"
U. Utomo,B,Simple Privateers,Dosqaly,FW,"∂ 15,520,000"
T. Tindyebwa,B,Simple Privateers,New Somoe,FW,"∂ 28,280,000"
A. Uy,B,Simple Privateers,People's Land of Maneau,FWMF,"∂ 30,880,000"
O. Martini,B,Simple Privateers,Tercapetralgrorus,FWMF,"∂ 31,070,000"
A. Nakalyango,B,Simple Privateers,Zamlie Niabangthe,FWMF,"∂ 27,320,000"
V. Arnold,B,Simple Privateers,Coastpa Barleslands,GK,"∂ 11,400,000"
X. Adikini,B,Simple Privateers,Cuandbo,GK,"∂ 8,010,000"
B. bin Awang,B,Simple Privateers,Czechnor,MF,"∂ 26,640,000"
F. Awino,B,Simple Privateers,Dosqaly,MF,"∂ 18,440,000"
K. Birungi,B,Simple Privateers,Dosqaly,MF,"∂ 25,700,000"
P. Otto,B,Simple Privateers,Dosqaly,MF,"∂ 20,110,000"
V. Tong,B,Simple Privateers,Dosqaly,MF,"∂ 11,720,000"
W. Mugisha,B,Simple Privateers,Dosqaly,MF,"∂ 19,870,000"
T. Owiny,B,Simple Privateers,Pierrema,MF,"∂ 21,030,000"
B. Nakabugo,B,Simple Privateers,Sina Daofra,MFDF,"∂ 20,330,000"
J. Kirabo,B,Simple Privateers,Dosqaly,MFFW,"∂ 26,160,000"
S. Oroma,B,Simple Privateers,Dosqaly,MFFW,"∂ 25,230,000"
V. Nagawa,B,Simple Privateers,Dosqaly,MFFW,"∂ 33,220,000"
D. Tkachenko,B,Simple Privateers,Iverde,MFFW,"∂ 28,450,000"
N. Olinga,B,Simple Privateers,Lefghau,MFFW,"∂ 24,070,000"
F. Hubert,B,Solemn Leopards,Dosqaly,DF,"∂ 27,190,000"
R. Mutumba,B,Solemn Leopards,Dosqaly,DF,"∂ 28,470,000"
M. Tseu,B,Solemn Leopards,Manlisgamncent,DF,"∂ 17,180,000"
A. Peña,B,Solemn Leopards,Nganion,DF,"∂ 17,660,000"
P. Chi,B,Solemn Leopards,Rarita,DF,"∂ 12,340,000"
F. Baguma,B,Solemn Leopards,Coastpa Barleslands,DFFW,"∂ 27,440,000"
F. Kobugabe,B,Solemn Leopards,Dosqaly,DFMF,"∂ 21,370,000"
J. Ginting,B,Solemn Leopards,Dosqaly,DFMF,"∂ 10,040,000"
C. Omar,B,Solemn Leopards,Dosqaly,FW,"∂ 26,390,000"
Q. Okiror,B,Solemn Leopards,Dosqaly,FW,"∂ 31,050,000"
S. Abdullahi,B,Solemn Leopards,Dosqaly,FW,"∂ 25,450,000"
P. Jackson,B,Solemn Leopards,Imaar Vircoand,FW,"∂ 25,960,000"
T. Marques,B,Solemn Leopards,Dosqaly,FWMF,"∂ 27,040,000"
F. Schäfer,B,Solemn Leopards,Rosvi,FWMF,"∂ 22,620,000"
A. Mbusa,B,Solemn Leopards,Dosqaly,GK,"∂ 20,820,000"
N. Tumwesigye,B,Solemn Leopards,Dosqaly,GK,"∂ 16,330,000"
A. Odaga,B,Solemn Leopards,Byasier Pujan,MF,"∂ 18,510,000"
K. Makaza,B,Solemn Leopards,Dosqaly,MF,"∂ 29,210,000"
L. Ayebale,B,Solemn Leopards,Dosqaly,MF,"∂ 8,460,000"
Q. Ruzvidzo,B,Solemn Leopards,Dosqaly,MF,"∂ 20,920,000"
L. Hall,B,Solemn Leopards,Lefghau,MF,"∂ 16,900,000"
Z. Heinonen,B,Solemn Leopards,Dosqaly,MFFW,"∂ 25,250,000"
K. Baumann,B,Solemn Leopards,Tabhu Striary,MFFW,"∂ 22,940,000"
M. Chavula,B,Somber Stallions,Dosqaly,DF,"∂ 17,270,000"
W. Aciro,B,Somber Stallions,Dosqaly,DF,"∂ 18,880,000"
I. Nabatanzi,B,Somber Stallions,Greri Landmoslands,DF,"∂ 15,340,000"
P. Nahabwe,B,Somber Stallions,Greri Landmoslands,DF,"∂ 6,490,000"
S. Chided,B,Somber Stallions,Lefghau,DF,"∂ 22,160,000"
S. Lamptey,B,Somber Stallions,Manlisgamncent,DF,"∂ 22,700,000"
M. Nagudi,B,Somber Stallions,Pitpu Biaal,DF,"∂ 18,530,000"
L. James,B,Somber Stallions,Varijitri Isles,DF,"∂ 17,500,000"
S. Zupan,B,Somber Stallions,Dosqaly,FW,"∂ 20,160,000"
K. Sekh,B,Somber Stallions,Republic of Denand Landsa,FW,"∂ 31,400,000"
E. Tumukunde,B,Somber Stallions,Dosqaly,FWMF,"∂ 23,580,000"
L. Aguilar,B,Somber Stallions,Lefghau,FWMF,"∂ 20,710,000"
I. Kumari,B,Somber Stallions,Dosqaly,GK,"∂ 13,750,000"
K. Wee,B,Somber Stallions,Central Namemo Laand,MF,"∂ 7,700,000"
G. Kyamanywa,B,Somber Stallions,Coastpa Barleslands,MF,"∂ 8,210,000"
E. Longwe,B,Somber Stallions,Dosqaly,MF,"∂ 15,960,000"
G. Jesus,B,Somber Stallions,Dosqaly,MF,"∂ 13,810,000"
K. Gao,B,Somber Stallions,Greri Landmoslands,MF,"∂ 25,640,000"
B. Lu,B,Somber Stallions,Lefghau,MF,"∂ 21,600,000"
Q. Nikoli?,B,Somber Stallions,Saintswacroa,MF,"∂ 6,080,000"
E. Teixeira,B,Somber Stallions,Slandsganiamayotteque,MF,"∂ 19,360,000"
K. Guillaume,B,Somber Stallions,Dosqaly,MFFW,"∂ 28,170,000"
X. Durand,B,Somber Stallions,Greri Landmoslands,MFFW,"∂ 31,650,000"
Z. Perrin,B,Somber Stallions,Imaar Vircoand,MFFW,"∂ 11,980,000"
K. Koppel,B,Somber Stallions,Varijitri Isles,MFFW,"∂ 28,070,000"
G. Asiedu,B,Supreme Janes,Dosqaly,DF,"∂ 17,910,000"
L. Hasegawa,B,Supreme Janes,Dosqaly,DF,"∂ 11,470,000"
N. Agyapong,B,Supreme Janes,Dosqaly,DF,"∂ 9,230,000"
R. Horvat,B,Supreme Janes,Dosqaly,DF,"∂ 3,170,000"
S. bin Osman,B,Supreme Janes,Dosqaly,DF,"∂ 9,790,000"
K. Nakku,B,Supreme Janes,Former Maneau,DF,"∂ 18,180,000"
G. Suad,B,Supreme Janes,Lefghau,DF,"∂ 14,010,000"
I. Nantale,B,Supreme Janes,Lefghau,DF,"∂ 14,440,000"
E. Nelima,B,Supreme Janes,Reugha,DF,"∂ 13,750,000"
J. Ferri,B,Supreme Janes,Reugha,DF,"∂ 10,380,000"
K. Balogun,B,Supreme Janes,Lenia Gerdanho,DFFW,"∂ 12,840,000"
Y. D?browski,B,Supreme Janes,Rarita,DFMF,"∂ 10,800,000"
K. Macuacua,B,Supreme Janes,Dosqaly,FW,"∂ 17,340,000"
H. Sentongo,B,Supreme Janes,Reugha,FW,"∂ 21,610,000"
O. Cheah,B,Supreme Janes,Lefghau,FWDF,"∂ 12,640,000"
B. Roche,B,Supreme Janes,Dosqaly,FWMF,"∂ 30,210,000"
F. Kyoshabire,B,Supreme Janes,Dosqaly,FWMF,"∂ 27,330,000"
H. Pang,B,Supreme Janes,Dosqaly,FWMF,"∂ 15,330,000"
E. Lund,B,Supreme Janes,Republic of Denand Landsa,FWMF,"∂ 33,290,000"
O. Tio,B,Supreme Janes,Southern Ristan,FWMF,"∂ 20,660,000"
R. Mkandla,B,Supreme Janes,Southern Ristan,FWMF,"∂ 22,080,000"
O. Burgos,B,Supreme Janes,Dosqaly,GK,"∂ 20,260,000"
E. Liepi?_,B,Supreme Janes,Rosvi,GK,"∂ 7,270,000"
G. Albrecht,B,Supreme Janes,Dosqaly,MF,"∂ 17,020,000"
P. Lo,B,Supreme Janes,Dosqaly,MF,"∂ 23,840,000"
Q. Ruzvidzo,B,Supreme Janes,Dosqaly,MF,"∂ 13,320,000"
B. Apio,B,Supreme Janes,Pierrema,MF,"∂ 31,480,000"
L. Mirzaei,B,Supreme Janes,Biarizea,MFFW,"∂ 26,720,000"
E. Fujiwara,B,Supreme Janes,Former Maneau,MFFW,"∂ 23,470,000"
H. Romero,B,Swift Rustlers,Coastpa Barleslands,DF,"∂ 21,730,000"
A. Schmidt,B,Swift Rustlers,Dosqaly,DF,"∂ 32,300,000"
D. Tweheyo,B,Swift Rustlers,Dosqaly,DF,"∂ 16,380,000"
Y. Meyer,B,Swift Rustlers,Nkasland Cronestan,DF,"∂ 8,640,000"
O. Bo_njak,B,Swift Rustlers,Northern Namemo Laand,DF,"∂ 23,610,000"
N. Gumbo,B,Swift Rustlers,People's Land of Maneau,DF,"∂ 18,070,000"
O. Ninsiima,B,Swift Rustlers,Greri Landmoslands,DFFW,"∂ 29,500,000"
S. Jalali,B,Swift Rustlers,Esia,DFMF,"∂ 25,870,000"
L. Fung,B,Swift Rustlers,Greri Landmoslands,DFMF,"∂ 27,410,000"
L. Chifamba,B,Swift Rustlers,Lefghau,DFMF,"∂ 11,270,000"
Q. Mukasa,B,Swift Rustlers,Buhegeor,FW,"∂ 16,460,000"
E. Nankunda,B,Swift Rustlers,Dosqaly,FW,"∂ 21,880,000"
F. Mapfumo,B,Swift Rustlers,Dosqaly,FW,"∂ 9,320,000"
L. Castro,B,Swift Rustlers,Dosqaly,FW,"∂ 27,870,000"
M. Mubangizi,B,Swift Rustlers,Greri Landmoslands,FW,"∂ 20,340,000"
H. Mubaiwa,B,Swift Rustlers,Rarita,FW,"∂ 34,860,000"
V. Smits,B,Swift Rustlers,Coastpa Barleslands,FWMF,"∂ 24,900,000"
F. Monday,B,Swift Rustlers,Pahon,FWMF,"∂ 23,420,000"
Z. Pinto,B,Swift Rustlers,Republic of Denand Landsa,FWMF,"∂ 20,590,000"
Q. Permana,B,Swift Rustlers,Dosqaly,GK,"∂ 8,090,000"
C. Langa,B,Swift Rustlers,Dosqaly,MF,"∂ 18,860,000"
F. Perrin,B,Swift Rustlers,Dosqaly,MF,"∂ 15,990,000"
I. Brown,B,Swift Rustlers,Dosqaly,MF,"∂ 24,440,000"
L. Prasad,B,Swift Rustlers,Eastern Sleboube,MF,"∂ 25,500,000"
D. Kemigisa,B,Swift Rustlers,Greri Landmoslands,MF,"∂ 19,160,000"
Y. Molnár,B,Swift Rustlers,Nganion,MF,"∂ 16,860,000"
V. Nakibuule,B,Swift Rustlers,Reugha,MF,"∂ 6,280,000"
S. Antwi,B,Swift Rustlers,Lefghau,MFFW,"∂ 24,690,000"
C. Danquah,B,Unaccountable Foxes,Byasier Pujan,DF,"∂ 28,450,000"
B. Nandudu,B,Unaccountable Foxes,Dosqaly,DF,"∂ 10,220,000"
H. Chandiru,B,Unaccountable Foxes,Dosqaly,DF,"∂ 5,740,000"
J. Delemovi?,B,Unaccountable Foxes,Dosqaly,DF,"∂ 17,310,000"
B. Chided,B,Unaccountable Foxes,Lefghau,DF,"∂ 16,890,000"
D. Byogero,B,Unaccountable Foxes,Lefghau,DF,"∂ 19,960,000"
U. Arthur,B,Unaccountable Foxes,Lefghau,DF,"∂ 15,130,000"
E. Nakayiza,B,Unaccountable Foxes,Mico,DF,"∂ 15,620,000"
Q. Vuji?,B,Unaccountable Foxes,Reugha,DF,"∂ 21,970,000"
H. Nyombi,B,Unaccountable Foxes,Southern Ristan,DF,"∂ 14,270,000"
F. Got?,B,Unaccountable Foxes,Central Namemo Laand,FW,"∂ 34,450,000"
K. binti Ali,B,Unaccountable Foxes,Dosqaly,FW,"∂ 1,860,000"
U. Iskandar,B,Unaccountable Foxes,Dosqaly,FW,"∂ 26,730,000"
J. Rinaldi,B,Unaccountable Foxes,Central Diasongo,FWDF,"∂ 27,820,000"
Y. Manjate,B,Unaccountable Foxes,Byasier Pujan,FWMF,"∂ 26,790,000"
E. De Santis,B,Unaccountable Foxes,Dosqaly,FWMF,"∂ 19,830,000"
K. Aliyu,B,Unaccountable Foxes,Saintswacroa,FWMF,"∂ 34,000,000"
O. Noor,B,Unaccountable Foxes,Cabral Retrea,GK,"∂ 29,620,000"
F. Carbone,B,Unaccountable Foxes,Greri Landmoslands,GK,"∂ 14,090,000"
L. Mponda,B,Unaccountable Foxes,Dosqaly,MF,"∂ 12,130,000"
M. Mugeni,B,Unaccountable Foxes,Dosqaly,MF,"∂ 29,390,000"
B. Akullu,B,Unaccountable Foxes,Lefghau,MF,"∂ 33,420,000"
I. Oryema,B,Unaccountable Foxes,Lefghau,MF,"∂ 21,200,000"
X. Méndez,B,Unaccountable Foxes,Lefghau,MF,"∂ 25,330,000"
E. König,B,Unaccountable Foxes,Dosqaly,MFFW,"∂ 21,120,000"
M. Azulay,B,Unaccountable Foxes,Dosqaly,MFFW,"∂ 25,950,000"
T. Kuok,B,Unaccountable Foxes,Dosqaly,MFFW,"∂ 26,180,000"
Y. Peter,B,Unethical Comets,Central Namemo Laand,DF,"∂ 8,410,000"
B. Nassozi,B,Unethical Comets,Dosqaly,DF,"∂ 12,910,000"
B. Pandit,B,Unethical Comets,Dosqaly,DF,"∂ 2,480,000"
K. Cohen,B,Unethical Comets,Dosqaly,DF,"∂ 13,240,000"
R. Dube,B,Unethical Comets,Dosqaly,DF,"∂ 14,430,000"
D. Nangiro,B,Unethical Comets,Greri Landmoslands,DF,"∂ 25,300,000"
L. Popa,B,Unethical Comets,Janmico,DF,"∂ 21,440,000"
L. Kalni?_,B,Unethical Comets,Lefghau,DF,"∂ 20,000,000"
H. Afriyie,B,Unethical Comets,Dosqaly,DFMF,"∂ 28,170,000"
Z. Ebner,B,Unethical Comets,Dosqaly,DFMF,"∂ 11,600,000"
M. Mizrahi,B,Unethical Comets,Rosvi,DFMF,"∂ 15,430,000"
D. Masuku,B,Unethical Comets,Dosqaly,FW,"∂ 26,820,000"
F. Nyandoro,B,Unethical Comets,Dosqaly,FW,"∂ 4,690,000"
C. Abaho,B,Unethical Comets,Pierrema,FW,"∂ 36,680,000"
G. Parisi,B,Unethical Comets,Rosvi,FW,"∂ 21,840,000"
A. Alotaibi,B,Unethical Comets,Coastpa Barleslands,FWMF,"∂ 34,810,000"
L. Dahl,B,Unethical Comets,Dosqaly,GK,"∂ 12,430,000"
A. Wati,B,Unethical Comets,Greri Landmoslands,GK,"∂ 14,690,000"
F. K?rkli?_,B,Unethical Comets,Imaar Vircoand,GK,"∂ 26,350,000"
G. Ampofo,B,Unethical Comets,Buhegeor,MF,"∂ 14,240,000"
G. Heydari,B,Unethical Comets,Dosqaly,MF,"∂ 20,070,000"
I. Namutosi,B,Unethical Comets,Dosqaly,MF,"∂ 12,440,000"
J. Opolot,B,Unethical Comets,Dosqaly,MF,"∂ 17,530,000"
J. Papp,B,Unethical Comets,Dosqaly,MF,"∂ 4,190,000"
X. Kamble,B,Unethical Comets,Dosqaly,MF,"∂ 29,940,000"
J. Mutyaba,B,Unethical Comets,Dosqaly,MFDF,"∂ 12,090,000"
E. Rashidi,B,Unethical Comets,Landli Blicporlip,MFFW,"∂ 34,040,000"
H. Isa,B,Villainous Eagles,Central Diasongo,DF,"∂ 10,600,000"
K. Weiß,B,Villainous Eagles,Central Diasongo,DF,"∂ 11,160,000"
Y. Bano,B,Villainous Eagles,Central Diasongo,DF,"∂ 18,260,000"
T. Maganga,B,Villainous Eagles,Coastpa Barleslands,DF,"∂ 9,080,000"
M. Lehmann,B,Villainous Eagles,Dosqaly,DF,"∂ 10,700,000"
M. Okori,B,Villainous Eagles,Dosqaly,DF,"∂ 9,570,000"
S. Parisi,B,Villainous Eagles,Dosqaly,DF,"∂ 14,370,000"
U. Heilig,B,Villainous Eagles,Dosqaly,DF,"∂ 11,640,000"
U. bin Salleh,B,Villainous Eagles,Unicorporated Tiagascar,DF,"∂ 23,710,000"
E. Kinoshita,B,Villainous Eagles,Biarizea,FW,"∂ 30,040,000"
E. Ajwang,B,Villainous Eagles,Central Namemo Laand,FW,"∂ 31,770,000"
J. Natukunda,B,Villainous Eagles,Dosqaly,FW,"∂ 25,690,000"
A. Munda,B,Villainous Eagles,Dosqaly,GK,"∂ 11,500,000"
M. Mertens,B,Villainous Eagles,Pahon,GK,"∂ 27,570,000"
J. Nakamya,B,Villainous Eagles,Dosqaly,MF,"∂ 23,610,000"
M. Ojo,B,Villainous Eagles,Dosqaly,MF,"∂ 21,140,000"
N. Kigongo,B,Villainous Eagles,Dosqaly,MF,"∂ 27,160,000"
P. Nieminen,B,Villainous Eagles,Dosqaly,MF,"∂ 22,560,000"
P. Oravec,B,Villainous Eagles,Dosqaly,MF,"∂ 20,660,000"
T. Kuok,B,Villainous Eagles,Dosqaly,MF,"∂ 34,880,000"
T. Pärn,B,Villainous Eagles,Dosqaly,MF,"∂ 9,500,000"
D. Businge,B,Villainous Eagles,Greri Landmoslands,MF,"∂ 33,950,000"
Y. Kat?,B,Villainous Eagles,Dosqaly,MFDF,"∂ 14,520,000"
Z. Ogawa,B,Villainous Eagles,Coastpa Barleslands,MFFW,"∂ 9,720,000"
Q. Yamazaki,B,Villainous Eagles,Pierrema,MFFW,"∂ 30,960,000"
O. Musiimenta,B,Villainous Eagles,Ucame Ofne,MFFW,"∂ 36,290,000"
B. Waon,B,Weak Blimps,Badad,DF,"∂ 22,930,000"
O. Naderi,B,Weak Blimps,Badad,DF,"∂ 12,220,000"
E. Odeke,B,Weak Blimps,Coastpa Barleslands,DF,"∂ 19,250,000"
Q. bin Abd Rahman,B,Weak Blimps,Dosqaly,DF,"∂ 14,320,000"
U. Shahar,B,Weak Blimps,Dosqaly,DF,"∂ 10,470,000"
Z. Akoth,B,Weak Blimps,Dosqaly,DF,"∂ 19,760,000"
Z. Nakiganda,B,Weak Blimps,Dosqaly,DF,"∂ 4,830,000"
P. Tumwine,B,Weak Blimps,Lefghau,DF,"∂ 11,140,000"
E. Kova?i?,B,Weak Blimps,Mico,DF,"∂ 7,560,000"
L. Das,B,Weak Blimps,Central Diasongo,DFFW,"∂ 27,880,000"
V. Koller,B,Weak Blimps,Coastpa Barleslands,DFFW,"∂ 28,220,000"
B. Kayondo,B,Weak Blimps,Lefghau,DFMF,"∂ 21,420,000"
T. Chua,B,Weak Blimps,Dosqaly,FW,"∂ 25,880,000"
P. Khoh,B,Weak Blimps,Mico,FW,"∂ 28,360,000"
B. Nyamadzawo,B,Weak Blimps,Dosqaly,FWDF,"∂ 24,010,000"
F. Fournier,B,Weak Blimps,Pierrema,FWDF,"∂ 35,800,000"
X. Lim,B,Weak Blimps,Tabhu Striary,FWDF,"∂ 19,970,000"
Y. bin Abu Bakar,B,Weak Blimps,Central Namemo Laand,FWMF,"∂ 17,130,000"
J. Nakayama,B,Weak Blimps,Dosqaly,FWMF,"∂ 34,750,000"
I. Korugyendo,B,Weak Blimps,Dosqaly,GK,"∂ 22,710,000"
C. V?tols,B,Weak Blimps,Imaar Vircoand,GK,"∂ 13,020,000"
G. Kaweesa,B,Weak Blimps,Central Namemo Laand,MF,"∂ 14,760,000"
B. Mohamed,B,Weak Blimps,Dosqaly,MF,"∂ 10,350,000"
B. Nalugwa,B,Weak Blimps,Dosqaly,MF,"∂ 20,180,000"
I. Irumba,B,Weak Blimps,Dosqaly,MF,"∂ 9,230,000"
N. Maeda,B,Weak Blimps,Dosqaly,MF,"∂ 30,640,000"
Q. Loeng,B,Weak Blimps,Dosqaly,MF,"∂ 33,070,000"
J. Khosravi,B,Weak Blimps,Dosqaly,MFFW,"∂ 19,740,000"
P. Li,B,Weak Blimps,Dosqaly,MFFW,"∂ 23,320,000"
G. Mar,B,Weak Blimps,Pierrema,MFFW,"∂ 17,930,000"
O. Ssenabulya,B,Weak Blimps,Pierrema,MFFW,"∂ 34,970,000"
F. Aminu,B,Wet Monarchs,Dosqaly,DF,"∂ 9,320,000"
J. Wojciechowski,B,Wet Monarchs,Dosqaly,DF,"∂ 23,650,000"
L. Akech,B,Wet Monarchs,Dosqaly,DF,"∂ 22,140,000"
L. bin Osman,B,Wet Monarchs,Dosqaly,DF,"∂ 21,710,000"
Q. Becker,B,Wet Monarchs,Dosqaly,DF,"∂ 17,900,000"
X. Kyei,B,Wet Monarchs,Dosqaly,DF,"∂ 19,690,000"
I. Matsinhe,B,Wet Monarchs,Dosqaly,DFFW,"∂ 1,250,000"
P. Tse,B,Wet Monarchs,Biarizea,FW,"∂ 10,060,000"
L. Lukwago,B,Wet Monarchs,Coastpa Barleslands,FW,"∂ 31,710,000"
L. Chandia,B,Wet Monarchs,Dosqaly,FW,"∂ 25,530,000"
Y. Seidel,B,Wet Monarchs,Dosqaly,FW,"∂ 19,620,000"
A. Mwesige,B,Wet Monarchs,Eastern Niasland,FW,"∂ 23,770,000"
Y. Jokinen,B,Wet Monarchs,Dosqaly,FWDF,"∂ 28,420,000"
M. Maimon,B,Wet Monarchs,Dosqaly,FWMF,"∂ 25,660,000"
Z. Wati,B,Wet Monarchs,Dosqaly,FWMF,"∂ 17,660,000"
A. Serrano,B,Wet Monarchs,Pierrema,FWMF,"∂ 20,910,000"
C. Domínguez,B,Wet Monarchs,Southern Viout Aman,FWMF,"∂ 26,430,000"
W. Okumu,B,Wet Monarchs,Unicorporated Tiagascar,FWMF,"∂ 23,160,000"
J. Mercier,B,Wet Monarchs,Dosqaly,GK,"∂ 14,590,000"
L. Ssenyonjo,B,Wet Monarchs,Dosqaly,GK,"∂ 17,710,000"
Y. Yanti,B,Wet Monarchs,Coastpa Barleslands,MF,"∂ 25,740,000"
C. Rathod,B,Wet Monarchs,Dosqaly,MF,"∂ 16,880,000"
J. Nakamya,B,Wet Monarchs,Dosqaly,MF,"∂ 12,050,000"
L. Kova?,B,Wet Monarchs,Dosqaly,MF,"∂ 24,100,000"
V. Krisensen,B,Wet Monarchs,Dosqaly,MF,"∂ 20,120,000"
X. Mhango,B,Wet Monarchs,Dosqaly,MF,"∂ 6,380,000"
X. Tu,B,Wet Monarchs,Rarita,MF,"∂ 17,510,000"
B. Ndlovu,B,Wet Monarchs,Dosqaly,MFFW,"∂ 29,760,000"
M. Iwasaki,C,Awkward Trailblazers,Esia,DF,"∂ 13,300,000"
S. Busch,C,Awkward Trailblazers,Galamily,DF,"∂ 15,940,000"
P. Konadu,C,Awkward Trailblazers,Giumle Lizeibon,DF,"∂ 18,100,000"
D. Okech,C,Awkward Trailblazers,Leoneku Guidisia,DF,"∂ 19,530,000"
P. Muianga,C,Awkward Trailblazers,Quewenia,DF,"∂ 26,520,000"
S. Chemutai,C,Awkward Trailblazers,Rosvi,DF,"∂ 15,440,000"
Q. Busobozi,C,Awkward Trailblazers,Varijitri Isles,DF,"∂ 22,490,000"
X. Ahmad,C,Awkward Trailblazers,Xikong,DF,"∂ 14,890,000"
P. Ssempijja,C,Awkward Trailblazers,Esia,DFMF,"∂ 11,730,000"
S. Magezi,C,Awkward Trailblazers,Esia,DFMF,"∂ 9,470,000"
B. Had_i?,C,Awkward Trailblazers,Esia,FW,"∂ 21,940,000"
F. Zziwa,C,Awkward Trailblazers,Esia,FW,"∂ 14,850,000"
O. Pellegrini,C,Awkward Trailblazers,Esia,FW,"∂ 26,110,000"
G. Chakanyuka,C,Awkward Trailblazers,Loco Phirema,FW,"∂ 33,760,000"
R. Mbeiza,C,Awkward Trailblazers,Slandsganiamayotteque,FW,"∂ 21,930,000"
B. Ionescu,C,Awkward Trailblazers,Esia,FWMF,"∂ 5,630,000"
F. Kigongo,C,Awkward Trailblazers,Esia,FWMF,"∂ 18,390,000"
K. Ozols,C,Awkward Trailblazers,Esia,FWMF,"∂ 32,390,000"
X. Han,C,Awkward Trailblazers,Esia,FWMF,"∂ 27,230,000"
C. Niwagaba,C,Awkward Trailblazers,Former Maneau,FWMF,"∂ 24,600,000"
H. Manyika,C,Awkward Trailblazers,Lylimi,FWMF,"∂ 28,250,000"
G. Prasetyo,C,Awkward Trailblazers,Galamily,GK,"∂ 20,780,000"
L. Bbosa,C,Awkward Trailblazers,Ingre,GK,"∂ 8,680,000"
